Description/notes,From,To,Mode,Time,Service,Optimize,Max dist,Arrive by,Depart by,Expected output,Expected number of legs,Expected trip duration,Expected trip distance,Passes?
"Test: Walk from college & park to stop id 13710","SW_Park_Ave_@_SW_College_St::45.510277,-122.685660","Lincoln_St/SW_3rd_Ave_MAX_Station::45.507893,-122.680150",WALK,2:25 PM,Weekday,QUICK,840
"Test: OHSU life Sciences to eastmoreland golf course","OHSU_Collaborative_Life_Sciences_Building::45.503162,-122.671814","SE_27th_Ave_@_SE_Bybee_Blvd::45.474365,-122.636470","TRANSIT,WALK",11:00 AM,Future,QUICK,840
"Test: lincoln station to milwaukie station","Lincoln_St/SW_3rd_Ave_MAX_Station::45.507893,-122.680150","Milwaukie/Main_St_MAX_Station::45.441517,-122.639780","TRANSIT,WALK",2:56 PM,Future,QUICK,840,,,MAX.*13718
"Test: lincoln station to OHSU life sciences building","Lincoln_St/SW_3rd_Ave_MAX_Station::45.507893,-122.680150","OHSU_Collaborative_Life_Sciences_Building::45.503162,-122.671814","TRANSIT,WALK",11:00 AM,Future,QUICK,840
"Test: lincoln station to OHSU life sciences building, lower walk distance","Lincoln_St/SW_3rd_Ave_MAX_Station::45.507893,-122.680150","OHSU_Collaborative_Life_Sciences_Building::45.503162,-122.671814","TRANSIT,WALK",11:00 AM,Future,QUICK,420
"Test: OHSU life sciences building to OMSI","OHSU_Collaborative_Life_Sciences_Building::45.503162,-122.671814","Oregon_Museum_of_Science_and_Industry::45.508327,-122.665010","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",11:00 AM,Future,QUICK,840,,,Streetcar.*13601
"Test: OMSI to OHSU life sciences building","Oregon_Museum_of_Science_and_Industry::45.508327,-122.665010","OHSU_Collaborative_Life_Sciences_Building::45.503162,-122.671814","TRAM,RAIL,SUBWAY,FUNICULAR,GONDOLA,WALK",11:00 AM,Future,QUICK,840,,,MAX Orange Line.*13727.*13728
"Test: SE Division and 12th to Se Bybee and 27th","SE_Division_St_@_SE_12th_Ave::45.504852,-122.653730","SE_27th_Ave_@_SE_Bybee_Blvd::45.474365,-122.636470","TRANSIT,WALK",8:46 AM,Future,QUICK,840
"Test: lincoln station to stop clinton station","Lincoln_St/SW_3rd_Ave_MAX_Station::45.507893,-122.680150","Clinton_St/SE_12th_Ave_MAX_Station::45.502697,-122.653210","TRANSIT,WALK",9:00 PM,Future,QUICK,840,,,MAX.*13713
"Test: se Division and 12th to stop clinton station","SE_Division_St_@_SE_12th_Ave::45.504852,-122.653730","Clinton_St/SE_12th_Ave_MAX_Station::45.502697,-122.653210","WALK",3:00 PM,Today,QUICK,1680
"Test: Trimet Center st to PSU","TriMet_Operations_Headquarters::45.493874,-122.648340","PSU::45.511536,-122.686180","TRANSIT,WALK",9:00 PM,Future,QUICK,840,,,MAX.*13724
"Test: rhine st station to stop moody station","SE_17th_Ave_@_Rhine_St_MAX_Station::45.497597,-122.648224","South_Waterfront/SW_Moody_MAX_Station::45.502820,-122.670840","TRANSIT,WALK",12:01 PM,Future,QUICK,840
